SessionID,ConceptA,ConceptB,xConceptA,yConceptB,xConceptB,yConceptB,Distance,NearestDistance,QstNr,QstDuration,ConceptClicksPerTest,RelativeDistance,NearestRelativeDistance
2350fd2e-2be4-4270-a39c-c6c24dec620b,Lehrer,Photosynthese,1078.0,214.0,673.0,146.0,410.6689664437769,305.0,7.0,28049.0,17.0,0.6614665091026288,0.5922050998611902
2350fd2e-2be4-4270-a39c-c6c24dec620b,Lehrer,Fahrrad,1078.0,214.0,1167.0,59.0,178.73443988218946,75.0,7.0,28049.0,17.0,0.28788843488486854,0.14562420488389924
2350fd2e-2be4-4270-a39c-c6c24dec620b,Baum,Erde,625.0,419.0,626.0,580.0,161.00310556011024,81.0,8.0,12702.0,6.0,0.40046063553576583,0.2515527950310559
2350fd2e-2be4-4270-a39c-c6c24dec620b,Laub,Erde,740.0,418.0,626.0,580.0,198.09088823063013,83.18653737234169,8.0,12702.0,6.0,0.49270852707288726,0.2583432837650363
2350fd2e-2be4-4270-a39c-c6c24dec620b,Ast,Erde,507.0,418.0,626.0,580.0,201.00995000248122,84.17244204607586,8.0,12702.0,6.0,0.49996906610570246,0.2614050995219747
2350fd2e-2be4-4270-a39c-c6c24dec620b,Physik,Erde,632.0,178.0,626.0,580.0,402.0447736260229,322.0,8.0,12702.0,6.0,1.0,1.0
2350fd2e-2be4-4270-a39c-c6c24dec620b,Laub,Baum,740.0,418.0,625.0,419.0,115.00434774390054,15.0,8.0,12702.0,6.0,0.28604860773759533,0.046583850931677016
2350fd2e-2be4-4270-a39c-c6c24dec620b,Ast,Baum,507.0,418.0,625.0,419.0,118.00423721205946,18.0,8.0,12702.0,6.0,0.2935101883001358,0.055900621118012424
2350fd2e-2be4-4270-a39c-c6c24dec620b,Physik,Baum,632.0,178.0,625.0,419.0,241.1016383187804,161.0,8.0,12702.0,6.0,0.5996885275843684,0.5
2350fd2e-2be4-4270-a39c-c6c24dec620b,Ast,Laub,507.0,418.0,740.0,418.0,233.0,133.0,8.0,12702.0,6.0,0.5795374428041533,0.41304347826086957
2350fd2e-2be4-4270-a39c-c6c24dec620b,Physik,Laub,632.0,178.0,740.0,418.0,263.1805463935357,160.1998751560063,8.0,12702.0,6.0,0.6546050680373798,0.49751514023604443
2350fd2e-2be4-4270-a39c-c6c24dec620b,Physik,Ast,632.0,178.0,507.0,418.0,270.60118255469615,161.94134740701648,8.0,12702.0,6.0,0.6730623062554869,0.502923439152225
2350fd2e-2be4-4270-a39c-c6c24dec620b,Schule,Fahrrad,437.0,196.0,730.0,25.0,339.24917096435183,213.37759957408838,9.0,20052.0,15.0,0.6873803145328081,0.5485285336094817
2350fd2e-2be4-4270-a39c-c6c24dec620b,Photosynthese,Fahrrad,454.0,310.0,730.0,25.0,396.7379487772754,270.1869722988138,9.0,20052.0,15.0,0.8038629991118856,0.6945680521820407
2350fd2e-2be4-4270-a39c-c6c24dec620b,Ast,Fahrrad,495.0,459.0,730.0,25.0,493.53925882344964,378.8680509095482,9.0,20052.0,15.0,1.0,0.9739538583793013
2350fd2e-2be4-4270-a39c-c6c24dec620b,Erde,Fahrrad,926.0,243.0,730.0,25.0,293.1552489722809,168.1071087134628,9.0,20052.0,15.0,0.5939856733406274,0.4321519504202128
